"","level","0","1","p","test"
"n","","5553","5087","",""
"age (mean (SD))","","63.45 (16.67)","64.50 (15.57)","0.001",""
"Elixhauser (mean (SD))","","21.32 (15.25)","24.59 (15.28)","<0.001",""
"admissionapache (mean (SD))","","20.08 (9.75)","20.75 (9.94)","0.001",""
"admissionsofa (mean (SD))","","5.54 (4.27)","6.24 (4.13)","<0.001",""
"geschlecht (%)","F","2227 (40.1)","2105 (41.4)","0.188",""
"","M","3326 (59.9)","2982 (58.6)","",""
"obes (%)","no","5117 (92.1)","4574 (89.9)","<0.001",""
"","yes","436 (7.9)","513 (10.1)","",""
"dialyse (%)","no","4850 (87.3)","4238 (83.3)","<0.001",""
"","yes","703 (12.7)","849 (16.7)","",""
"ecmo (%)","no","5415 (97.5)","4964 (97.6)","0.872",""
"","yes","138 (2.5)","123 (2.4)","",""
"highflow (%)","no","4276 (77.0)","3484 (68.5)","<0.001",""
"","yes","1277 (23.0)","1603 (31.5)","",""
"intubated (%)","no","4267 (76.8)","3508 (69.0)","<0.001",""
"","yes","1286 (23.2)","1579 (31.0)","",""
"maskedventilation (%)","no","3457 (62.3)","2875 (56.5)","<0.001",""
"","yes","2096 (37.7)","2212 (43.5)","",""
"tracheostomie (%)","no","5239 (94.3)","4662 (91.6)","<0.001",""
"","yes","314 (5.7)","425 (8.4)","",""
"Fachrichtung (%)","CardiacSurgery","335 (6.0)","461 (9.1)","<0.001",""
"","InterdisciplinaryOperative","1918 (34.5)","3103 (61.0)","",""
"","InternalMedicine","2032 (36.6)","408 (8.0)","",""
"","Multiple Specialties","693 (12.5)","665 (13.1)","",""
"","Neurocritical","575 (10.4)","450 (8.8)","",""
"covid (%)","no","5291 (95.3)","4888 (96.1)","0.046",""
"","yes","262 (4.7)","199 (3.9)","",""
